"filename", "language", "TypeScript", "Markdown", "TypeScript JSX", "JSON with Comments", "XML", "JSON", "CSS", "Properties", "JavaScript", "comment", "blank", "total"
"c:\Users\admin\Desktop\commuvemar-frontend\src\data\admin\fichas.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106
"c:\Users\admin\Desktop\commuvemar-frontend\src\hooks\useLocalStorage.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\admin\Desktop\commuvemar-frontend\src\middleware\ProtectedPage.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 4, 27
"c:\Users\admin\Desktop\commuvemar-frontend\src\redux\Provider.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\admin\Desktop\commuvemar-frontend\src\redux\features\authSlice.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\admin\Desktop\commuvemar-frontend\src\redux\features\fichaSlice.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\admin\Desktop\commuvemar-frontend\src\redux\features\fincaSlice.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\admin\Desktop\commuvemar-frontend\src\redux\features\mapaModalSlice.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\admin\Desktop\commuvemar-frontend\src\redux\features\productorsSlice.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\admin\Desktop\commuvemar-frontend\src\redux\features\sectionSlice.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\admin\Desktop\commuvemar-frontend\src\redux\features\themeSlice.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"c:\Users\admin\Desktop\commuvemar-frontend\src\redux\features\userSlice.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\admin\Desktop\commuvemar-frontend\src\redux\features\workerSlice.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\admin\Desktop\commuvemar-frontend\src\redux\store\store.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\admin\Desktop\commuvemar-frontend\src\routes\data.home.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Users\admin\Desktop\commuvemar-frontend\src\routes\sideInfo.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 60
"c:\Users\admin\Desktop\commuvemar-frontend\src\services\apiManager.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\admin\Desktop\commuvemar-frontend\src\services\datoSection.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 65
"c:\Users\admin\Desktop\commuvemar-frontend\src\services\fichas.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 36
"c:\Users\admin\Desktop\commuvemar-frontend\src\services\finca.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 74
"c:\Users\admin\Desktop\commuvemar-frontend\src\services\informacionDato.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 29
"c:\Users\admin\Desktop\commuvemar-frontend\src\services\login.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 34
"c:\Users\admin\Desktop\commuvemar-frontend\src\services\productors.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 83
"c:\Users\admin\Desktop\commuvemar-frontend\src\services\sections.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 72
"c:\Users\admin\Desktop\commuvemar-frontend\src\services\user.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 21
